                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.209,                  2.097,                 1.5772,                 1.3437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.1938,                 1.7897,                 1.4143,                 1.3104,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.1984,                 2.0868,                 1.3709,                 1.3246,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0009695,              0.0009695,              0.0009695
                     71,                 1.1557,                 2.0067,                 1.2489,                 1.3201,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00096537,             0.00096537,             0.00096537
                     72,                 1.0862,                 1.8056,                  1.552,                 1.3239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.1961,                 2.0681,                  1.257,                  1.317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00095712,             0.00095712,             0.00095712
                     74,                  1.199,                 2.0923,                 1.3502,                  1.341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000953,               0.000953,               0.000953
                     75,                 1.2123,                 1.9933,                 1.3496,                 1.3335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.2111,                 1.8558,                 1.3945,                 1.3826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.2257,                 1.9743,                 1.4573,                 1.3749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00094062,             0.00094062,             0.00094062
                     78,                 1.2143,                  1.839,                 1.3397,                  1.355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0009365,              0.0009365,              0.0009365
                     79,                 1.1904,                 2.0377,                 1.2875,                  1.366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00093238,             0.00093238,             0.00093238
                     80,                 1.2537,                 1.9691,                 1.3754,                 1.4125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00092825,             0.00092825,             0.00092825
                     81,                 1.2419,                 2.0306,                 1.3626,                 1.3481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00092413,             0.00092413,             0.00092413
                     82,                 1.1334,                 1.9167,                 1.3146,                 1.2972,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00092,                0.00092,                0.00092
                     83,                 1.1724,                 1.8956,                  1.896,                  1.331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.1411,                 1.7787,                 1.3653,                   1.34,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.0756,                 1.8229,                 1.3955,                 1.3206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00090763,             0.00090763,             0.00090763
                     86,                 1.1022,                 1.9162,                 1.4083,                 1.3236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.0981,                 1.8184,                 1.2761,                 1.3209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00089938,             0.00089938,             0.00089938
                     88,                 1.1165,                 1.7797,                 1.2967,                 1.3615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00089525,             0.00089525,             0.00089525
                     89,                 1.0892,                  1.791,                 1.1428,                  1.241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.1339,                 1.7846,                 1.2296,                 1.3409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000887,               0.000887,               0.000887
                     91,                  1.178,                 1.8941,                 1.2087,                 1.2609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.1631,                 1.9527,                 1.2584,                 1.3111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00087875,             0.00087875,             0.00087875
                     93,                 1.1779,                 1.9412,                 1.3026,                 1.3011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00087462,             0.00087462,             0.00087462
                     94,                 1.1856,                  2.026,                 1.2231,                 1.3309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.1229,                 2.0189,                 1.1862,                 1.2991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00086637,             0.00086637,             0.00086637
                     96,                  1.125,                 1.9571,                 1.2112,                 1.2945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00086225,             0.00086225,             0.00086225
                     97,                 1.1129,                 1.7923,                 1.2486,                 1.2933,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.0855,                 1.8531,                 1.2459,                 1.2844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000854,               0.000854,               0.000854
